"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.78694e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","4.89117e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Period Mean (original grids)","MeanState","above","scalar","kg m-2 s-1","9.39557e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Model Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","9.47702e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Model Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","5.33224e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Spatial Distribution Score","MeanState","above","score","1","0.927131","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Phase Shift","MeanState","above","scalar","months","0.569834","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Seasonal Cycle Score","MeanState","above","score","1","0.960353","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Bias","MeanState","above","scalar","kg m-2 s-1","6.8297e-07","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Bias Score","MeanState","above","score","1","0.859521","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","RMSE","MeanState","above","scalar","kg m-2 s-1","5.5515e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","RMSE Score","MeanState","above","score","1","0.640846","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEEv3","Overall Score","MeanState","above","score","1","0.805739","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.80442e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","6.36531e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Period Mean (original grids)","MeanState","above","scalar","kg m-2 s-1","6.39909e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Model Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","6.54704e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Model Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","3.01698e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Spatial Distribution Score","MeanState","above","score","1","0.961365","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Phase Shift","MeanState","above","scalar","months","0.519835","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Seasonal Cycle Score","MeanState","above","score","1","0.965094","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Bias","MeanState","above","scalar","kg m-2 s-1","-2.26092e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Bias Score","MeanState","above","score","1","0.802738","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","RMSE","MeanState","above","scalar","kg m-2 s-1","5.23559e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","RMSE Score","MeanState","above","score","1","0.664904","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","SDGVM","Overall Score","MeanState","above","score","1","0.811801","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.78351e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","2.70888e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Period Mean (original grids)","MeanState","above","scalar","kg m-2 s-1","7.71257e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Model Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","7.78759e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Model Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","3.34611e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Spatial Distribution Score","MeanState","above","score","1","0.971001","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Phase Shift","MeanState","above","scalar","months","0.421713","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Seasonal Cycle Score","MeanState","above","score","1","0.966732","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Bias","MeanState","above","scalar","kg m-2 s-1","-9.93444e-07","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Bias Score","MeanState","above","score","1","0.86485","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","RMSE","MeanState","above","scalar","kg m-2 s-1","3.99835e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","RMSE Score","MeanState","above","score","1","0.717469","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","CLM5","Overall Score","MeanState","above","score","1","0.847504","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.82165e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","6.61928e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Period Mean (original grids)","MeanState","above","scalar","kg m-2 s-1","5.61002e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Model Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","5.65545e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Model Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","2.94126e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Spatial Distribution Score","MeanState","above","score","1","0.965192","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Phase Shift","MeanState","above","scalar","months","0.661566","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Seasonal Cycle Score","MeanState","above","score","1","0.940689","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Bias","MeanState","above","scalar","kg m-2 s-1","-3.1701e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Bias Score","MeanState","above","score","1","0.750835","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","RMSE","MeanState","above","scalar","kg m-2 s-1","6.73819e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","RMSE Score","MeanState","above","score","1","0.610195","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ISAM","Overall Score","MeanState","above","score","1","0.775421","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.78162e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","nan","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Period Mean (original grids)","MeanState","above","scalar","kg m-2 s-1","7.12287e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Model Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","7.36794e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Model Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","3.48368e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Spatial Distribution Score","MeanState","above","score","1","0.909583","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Phase Shift","MeanState","above","scalar","months","0.629524","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Seasonal Cycle Score","MeanState","above","score","1","0.941704","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Bias","MeanState","above","scalar","kg m-2 s-1","-1.41629e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Bias Score","MeanState","above","score","1","0.813244","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","RMSE","MeanState","above","scalar","kg m-2 s-1","6.40648e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","RMSE Score","MeanState","above","score","1","0.602048","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE-CNP","Overall Score","MeanState","above","score","1","0.773725","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE","Benchmark Period Mean (intersection)","MeanState","above","scalar","kg m-2 s-1","8.78694e-06","1.0"
"HyrdologyCycle","Evapotranspiration","Vimal","ORCHIDEE","Benchmark Period Mean (complement)","MeanState","above","scalar","kg m-2 s-1","4.89117e-06","1.0"
